date,date_ru,key_rate
2023-01-03,03.01.2023,7.5
2023-01-04,04.01.2023,7.5
2023-01-05,05.01.2023,7.5
2023-01-06,06.01.2023,7.5
2023-01-09,09.01.2023,7.5
2023-01-10,10.01.2023,7.5
2023-01-11,11.01.2023,7.5
2023-01-12,12.01.2023,7.5
2023-01-13,13.01.2023,7.5
2023-01-16,16.01.2023,7.5
2023-01-17,17.01.2023,7.5
2023-01-18,18.01.2023,7.5
2023-01-19,19.01.2023,7.5
2023-01-20,20.01.2023,7.5
2023-01-23,23.01.2023,7.5
2023-01-24,24.01.2023,7.5
2023-01-25,25.01.2023,7.5
2023-01-26,26.01.2023,7.5
2023-01-27,27.01.2023,7.5
2023-01-30,30.01.2023,7.5
2023-01-31,31.01.2023,7.5
2023-02-01,01.02.2023,7.5
2023-02-02,02.02.2023,7.5
2023-02-03,03.02.2023,7.5
2023-02-06,06.02.2023,7.5
2023-02-07,07.02.2023,7.5
2023-02-08,08.02.2023,7.5
2023-02-09,09.02.2023,7.5
2023-02-10,10.02.2023,7.5
2023-02-13,13.02.2023,7.5
2023-02-14,14.02.2023,7.5
2023-02-15,15.02.2023,7.5
2023-02-16,16.02.2023,7.5
2023-02-17,17.02.2023,7.5
2023-02-20,20.02.2023,7.5
2023-02-21,21.02.2023,7.5
2023-02-22,22.02.2023,7.5
2023-02-24,24.02.2023,7.5
2023-02-27,27.02.2023,7.5
2023-02-28,28.02.2023,7.5
2023-03-01,01.03.2023,7.5
2023-03-02,02.03.2023,7.5
2023-03-03,03.03.2023,7.5
2023-03-06,06.03.2023,7.5
2023-03-07,07.03.2023,7.5
2023-03-09,09.03.2023,7.5
2023-03-10,10.03.2023,7.5
2023-03-13,13.03.2023,7.5
2023-03-14,14.03.2023,7.5
2023-03-15,15.03.2023,7.5
2023-03-16,16.03.2023,7.5
2023-03-17,17.03.2023,7.5
2023-03-20,20.03.2023,7.5
2023-03-21,21.03.2023,7.5
2023-03-22,22.03.2023,7.5
2023-03-23,23.03.2023,7.5
2023-03-24,24.03.2023,7.5
2023-03-27,27.03.2023,7.5
2023-03-28,28.03.2023,7.5
2023-03-29,29.03.2023,7.5
2023-03-30,30.03.2023,7.5
2023-03-31,31.03.2023,7.5
2023-04-03,03.04.2023,7.5
2023-04-04,04.04.2023,7.5
2023-04-05,05.04.2023,7.5
2023-04-06,06.04.2023,7.5
2023-04-07,07.04.2023,7.5
2023-04-10,10.04.2023,7.5
2023-04-11,11.04.2023,7.5
2023-04-12,12.04.2023,7.5
2023-04-13,13.04.2023,7.5
2023-04-14,14.04.2023,7.5
2023-04-17,17.04.2023,7.5
2023-04-18,18.04.2023,7.5
2023-04-19,19.04.2023,7.5
2023-04-20,20.04.2023,7.5
2023-04-21,21.04.2023,7.5
2023-04-24,24.04.2023,7.5
2023-04-25,25.04.2023,7.5
2023-04-26,26.04.2023,7.5
2023-04-27,27.04.2023,7.5
2023-04-28,28.04.2023,7.5
2023-05-02,02.05.2023,7.5
2023-05-03,03.05.2023,7.5
2023-05-04,04.05.2023,7.5
2023-05-05,05.05.2023,7.5
2023-05-08,08.05.2023,7.5
2023-05-10,10.05.2023,7.5
2023-05-11,11.05.2023,7.5
2023-05-12,12.05.2023,7.5
2023-05-15,15.05.2023,7.5
2023-05-16,16.05.2023,7.5
2023-05-17,17.05.2023,7.5
2023-05-18,18.05.2023,7.5
2023-05-19,19.05.2023,7.5
2023-05-22,22.05.2023,7.5
2023-05-23,23.05.2023,7.5
2023-05-24,24.05.2023,7.5
2023-05-25,25.05.2023,7.5
2023-05-26,26.05.2023,7.5
2023-05-29,29.05.2023,7.5
2023-05-30,30.05.2023,7.5
2023-05-31,31.05.2023,7.5
2023-06-01,01.06.2023,7.5
2023-06-02,02.06.2023,7.5
2023-06-05,05.06.2023,7.5
2023-06-06,06.06.2023,7.5
2023-06-07,07.06.2023,7.5
2023-06-08,08.06.2023,7.5
2023-06-09,09.06.2023,7.5
2023-06-13,13.06.2023,7.5
2023-06-14,14.06.2023,7.5
2023-06-15,15.06.2023,7.5
2023-06-16,16.06.2023,7.5
2023-06-19,19.06.2023,7.5
2023-06-20,20.06.2023,7.5
2023-06-21,21.06.2023,7.5
2023-06-22,22.06.2023,7.5
2023-06-23,23.06.2023,7.5
2023-06-26,26.06.2023,7.5
2023-06-27,27.06.2023,7.5
2023-06-28,28.06.2023,7.5
2023-06-29,29.06.2023,7.5
2023-06-30,30.06.2023,7.5
2023-07-03,03.07.2023,7.5
2023-07-04,04.07.2023,7.5
2023-07-05,05.07.2023,7.5
2023-07-06,06.07.2023,7.5
2023-07-07,07.07.2023,7.5
2023-07-10,10.07.2023,7.5
2023-07-11,11.07.2023,7.5
2023-07-12,12.07.2023,7.5
2023-07-13,13.07.2023,7.5
2023-07-14,14.07.2023,7.5
2023-07-17,17.07.2023,7.5
2023-07-18,18.07.2023,7.5
2023-07-19,19.07.2023,7.5
2023-07-20,20.07.2023,7.5
2023-07-21,21.07.2023,7.5
2023-07-24,24.07.2023,8.5
2023-07-25,25.07.2023,8.5
2023-07-26,26.07.2023,8.5
2023-07-27,27.07.2023,8.5
2023-07-28,28.07.2023,8.5
2023-07-31,31.07.2023,8.5
2023-08-01,01.08.2023,8.5
2023-08-02,02.08.2023,8.5
2023-08-03,03.08.2023,8.5
2023-08-04,04.08.2023,8.5
2023-08-07,07.08.2023,8.5
2023-08-08,08.08.2023,8.5
2023-08-09,09.08.2023,8.5
2023-08-10,10.08.2023,8.5
2023-08-11,11.08.2023,8.5
2023-08-14,14.08.2023,8.5
2023-08-15,15.08.2023,12.0
2023-08-16,16.08.2023,12.0
2023-08-17,17.08.2023,12.0
2023-08-18,18.08.2023,12.0
2023-08-21,21.08.2023,12.0
2023-08-22,22.08.2023,12.0
2023-08-23,23.08.2023,12.0
2023-08-24,24.08.2023,12.0
2023-08-25,25.08.2023,12.0
2023-08-28,28.08.2023,12.0
2023-08-29,29.08.2023,12.0
2023-08-30,30.08.2023,12.0
2023-08-31,31.08.2023,12.0
2023-09-01,01.09.2023,12.0
2023-09-04,04.09.2023,12.0
2023-09-05,05.09.2023,12.0
2023-09-06,06.09.2023,12.0
2023-09-07,07.09.2023,12.0
2023-09-08,08.09.2023,12.0
2023-09-11,11.09.2023,12.0
2023-09-12,12.09.2023,12.0
2023-09-13,13.09.2023,12.0
2023-09-14,14.09.2023,12.0
2023-09-15,15.09.2023,12.0
2023-09-18,18.09.2023,13.0
2023-09-19,19.09.2023,13.0
2023-09-20,20.09.2023,13.0
2023-09-21,21.09.2023,13.0
2023-09-22,22.09.2023,13.0
2023-09-25,25.09.2023,13.0
2023-09-26,26.09.2023,13.0
2023-09-27,27.09.2023,13.0
2023-09-28,28.09.2023,13.0
2023-09-29,29.09.2023,13.0
2023-10-02,02.10.2023,13.0
2023-10-03,03.10.2023,13.0
2023-10-04,04.10.2023,13.0
2023-10-05,05.10.2023,13.0
2023-10-06,06.10.2023,13.0
2023-10-09,09.10.2023,13.0
2023-10-10,10.10.2023,13.0
2023-10-11,11.10.2023,13.0
2023-10-12,12.10.2023,13.0
2023-10-13,13.10.2023,13.0
2023-10-16,16.10.2023,13.0
2023-10-17,17.10.2023,13.0
2023-10-18,18.10.2023,13.0
2023-10-19,19.10.2023,13.0
2023-10-20,20.10.2023,13.0
2023-10-23,23.10.2023,13.0
2023-10-24,24.10.2023,13.0
2023-10-25,25.10.2023,13.0
2023-10-26,26.10.2023,13.0
2023-10-27,27.10.2023,13.0
2023-10-30,30.10.2023,15.0
2023-10-31,31.10.2023,15.0
2023-11-01,01.11.2023,15.0
2023-11-02,02.11.2023,15.0
2023-11-03,03.11.2023,15.0
2023-11-06,06.11.2023,15.0
2023-11-07,07.11.2023,15.0
2023-11-08,08.11.2023,15.0
2023-11-09,09.11.2023,15.0
2023-11-10,10.11.2023,15.0
2023-11-13,13.11.2023,15.0
2023-11-14,14.11.2023,15.0
2023-11-15,15.11.2023,15.0
2023-11-16,16.11.2023,15.0
2023-11-17,17.11.2023,15.0
2023-11-20,20.11.2023,15.0
2023-11-21,21.11.2023,15.0
2023-11-22,22.11.2023,15.0
2023-11-23,23.11.2023,15.0
2023-11-24,24.11.2023,15.0
2023-11-27,27.11.2023,15.0
2023-11-28,28.11.2023,15.0
2023-11-29,29.11.2023,15.0
2023-11-30,30.11.2023,15.0
2023-12-01,01.12.2023,15.0
2023-12-04,04.12.2023,15.0
2023-12-05,05.12.2023,15.0
2023-12-06,06.12.2023,15.0
2023-12-07,07.12.2023,15.0
2023-12-08,08.12.2023,15.0
2023-12-11,11.12.2023,15.0
2023-12-12,12.12.2023,15.0
2023-12-13,13.12.2023,15.0
2023-12-14,14.12.2023,15.0
2023-12-15,15.12.2023,15.0
2023-12-18,18.12.2023,16.0
2023-12-19,19.12.2023,16.0
2023-12-20,20.12.2023,16.0
2023-12-21,21.12.2023,16.0
2023-12-22,22.12.2023,16.0
2023-12-25,25.12.2023,16.0
2023-12-26,26.12.2023,16.0
2023-12-27,27.12.2023,16.0
2023-12-28,28.12.2023,16.0
2023-12-29,29.12.2023,16.0
2024-01-03,03.01.2024,16.0
2024-01-04,04.01.2024,16.0
2024-01-05,05.01.2024,16.0
2024-01-08,08.01.2024,16.0
2024-01-09,09.01.2024,16.0
2024-01-10,10.01.2024,16.0
2024-01-11,11.01.2024,16.0
2024-01-12,12.01.2024,16.0
2024-01-15,15.01.2024,16.0
2024-01-16,16.01.2024,16.0
2024-01-17,17.01.2024,16.0
2024-01-18,18.01.2024,16.0
2024-01-19,19.01.2024,16.0
2024-01-22,22.01.2024,16.0
2024-01-23,23.01.2024,16.0
2024-01-24,24.01.2024,16.0
2024-01-25,25.01.2024,16.0
2024-01-26,26.01.2024,16.0
2024-01-29,29.01.2024,16.0
2024-01-30,30.01.2024,16.0
2024-01-31,31.01.2024,16.0
2024-02-01,01.02.2024,16.0
2024-02-02,02.02.2024,16.0
2024-02-05,05.02.2024,16.0
2024-02-06,06.02.2024,16.0
2024-02-07,07.02.2024,16.0
2024-02-08,08.02.2024,16.0
2024-02-09,09.02.2024,16.0
2024-02-12,12.02.2024,16.0
2024-02-13,13.02.2024,16.0
2024-02-14,14.02.2024,16.0
2024-02-15,15.02.2024,16.0
2024-02-16,16.02.2024,16.0
2024-02-19,19.02.2024,16.0
2024-02-20,20.02.2024,16.0
2024-02-21,21.02.2024,16.0
2024-02-22,22.02.2024,16.0
2024-02-26,26.02.2024,16.0
2024-02-27,27.02.2024,16.0
2024-02-28,28.02.2024,16.0
2024-02-29,29.02.2024,16.0
2024-03-01,01.03.2024,16.0
2024-03-04,04.03.2024,16.0
2024-03-05,05.03.2024,16.0
2024-03-06,06.03.2024,16.0
2024-03-07,07.03.2024,16.0
2024-03-11,11.03.2024,16.0
2024-03-12,12.03.2024,16.0
2024-03-13,13.03.2024,16.0
2024-03-14,14.03.2024,16.0
2024-03-15,15.03.2024,16.0
2024-03-18,18.03.2024,16.0
2024-03-19,19.03.2024,16.0
2024-03-20,20.03.2024,16.0
2024-03-21,21.03.2024,16.0
2024-03-22,22.03.2024,16.0
2024-03-25,25.03.2024,16.0
2024-03-26,26.03.2024,16.0
2024-03-27,27.03.2024,16.0
2024-03-28,28.03.2024,16.0
2024-03-29,29.03.2024,16.0
2024-04-01,01.04.2024,16.0
2024-04-02,02.04.2024,16.0
2024-04-03,03.04.2024,16.0
2024-04-04,04.04.2024,16.0
2024-04-05,05.04.2024,16.0
2024-04-08,08.04.2024,16.0
2024-04-09,09.04.2024,16.0
2024-04-10,10.04.2024,16.0
2024-04-11,11.04.2024,16.0
2024-04-12,12.04.2024,16.0
2024-04-15,15.04.2024,16.0
