tradedate,secid,open,high,low,close,volume,numtrades,value,settleprice
2023-01-03,AFH3,2481.0,2504.0,2463.0,2479.0,1571,330,3907329.0,2483.0
2023-01-03,AFM3,2533.0,2544.0,2531.0,2536.0,11,8,27870.0,2535.0
2023-01-03,AKH3,12107.0,12352.0,12087.0,12339.0,459,175,5620203.0,12326.0
2023-01-03,ALH3,5982.0,6055.0,5962.0,6029.0,2555,780,15361199.0,6029.0
2023-01-03,ALM3,6110.0,6154.0,6099.0,6142.0,49,28,300751.0,6142.0
2023-01-03,AUH3,0.6698,0.6737,0.6698,0.6737,18,2,859092.32,0.6742
2023-01-03,BRG3,87.6,89.1,87.59,87.87,60646,25303,3803221819.84,87.98
2023-01-03,BRH3,89.79,91.14,89.62,90.09,1810,1241,116078222.72,90.09
2023-01-03,BRJ3,91.13,92.29,90.86,91.65,334,142,21816798.46,91.65
2023-01-03,BRK3,91.38,93.78,91.06,92.91,130,93,8561236.49,92.91
2023-01-03,BRM3,90.88,93.07,90.56,92.47,31,26,2023127.06,92.47
2023-01-03,BRN3,89.56,92.24,89.56,91.68,3,3,194368.25,91.67
2023-01-03,BRQ3,90.4,90.4,90.4,90.4,2,2,128498.54,90.52
2023-01-03,BRU3,90.5,93.35,90.5,93.0,7,7,460661.57,93.0
2023-01-03,BRV3,93.95,93.95,92.9,92.9,4,4,264850.54,92.89
2023-01-03,BRX3,92.84,106.97,92.84,106.97,11,9,761460.43,93.38
2023-01-03,CFH3,0.9356,0.9356,0.9356,0.9356,1,1,71274.48,0.9356
2023-01-03,CHH3,86191.0,87400.0,86105.0,87349.0,84,75,7288807.0,87251.0
2023-01-03,CNYRUBF,9.91,10.18,9.87,10.12,25668,3300,257809960.0,10.08
2023-01-03,CRH3,10.004,10.24,9.952,10.157,1139968,68236,11522163971.0,10.163
2023-01-03,CRM3,10.188,10.397,10.117,10.317,4027,1183,41382293.0,10.321
2023-01-03,CRU3,10.345,10.6,10.3,10.557,47,33,491616.0,10.557
2023-01-03,CRZ3,10.764,10.999,10.301,10.9,45,20,480150.0,10.981
2023-01-03,DYH3,6088.0,6625.0,6088.0,6555.0,1881,515,12203907.0,6555.0
2023-01-03,EDH3,1.0388,1.0418,1.034,1.0384,70904,25076,5227216518.56,1.0378
2023-01-03,EDM3,1.0342,1.0368,1.0316,1.033,661,414,48544849.68,1.0327
2023-01-03,EDU3,1.0255,1.0345,1.0234,1.0235,1040,62,76256796.14,1.0235
2023-01-03,EURRUBF,73.9,75.46,73.26,75.04,3865,1844,286906340.0,74.82
2023-01-03,EuH3,72801.0,74543.0,72268.0,74175.0,80392,32443,5902567537.0,74119.0
2023-01-03,EuH4,77753.0,77753.0,77753.0,77753.0,1,1,77753.0,77753.0
