tradedate,secid,open,high,low,close,volume,numtrades,value
2023-01-03,AL50CM3,5.0,5.0,5.0,5.0,100,1,5000.0
2023-01-03,AL57CN3,11.08,11.08,11.08,11.08,50,1,2850.0
2023-01-03,AL59CB3,7.51,7.51,7.51,7.51,10,1,590.0
2023-01-03,AL59CM3,2.96,2.96,2.96,2.96,4,1,236.0
2023-01-03,AL60CM3A,2.54,2.54,2.54,2.54,1,1,60.0
2023-01-03,AL62CB3,6.27,6.33,6.27,6.32,10,10,620.0
2023-01-03,AL63CA3A,0.73,0.73,0.73,0.73,10,1,630.0
2023-01-03,AL67CB3,6.81,6.87,6.81,6.86,10,10,670.0
2023-01-03,BR78BM3A,0.1,0.1,0.1,0.1,20,2,1108726.4
2023-01-03,BR80BM3B,0.41,0.41,0.41,0.41,10,1,568577.6
2023-01-03,BR82BM3,1.4,1.4,1.2,1.22,40,4,2331168.0
2023-01-03,BR82BM3A,0.1,0.1,0.1,0.1,1,1,58279.2
2023-01-03,BR83BM3A,0.01,0.14,0.01,0.14,3,2,176969.79
2023-01-03,BR84BM3,1.8,1.8,1.48,1.8,7,4,417904.55
2023-01-03,BR85BM3,2.15,2.15,2.0,2.0,4,4,241645.48
2023-01-03,BR85BM3A,0.01,0.01,0.01,0.01,1,1,60411.37
2023-01-03,BR86BM3,2.3,2.4,2.3,2.4,6,6,366732.54
2023-01-03,BR87BA3,4.28,4.28,4.28,4.28,15,4,927492.15
2023-01-03,BR87BM3,3.3,3.3,2.7,2.8,4,4,247331.24
2023-01-03,BR87BM3A,0.57,0.76,0.48,0.76,4,3,247331.24
2023-01-03,BR87BN3,3.5,3.5,3.5,3.5,2,2,123665.62
2023-01-03,BR88BA3,3.37,3.91,3.37,3.91,10,7,625435.4
2023-01-03,BR88BA3A,1.2,1.25,1.2,1.25,4,3,250174.16
2023-01-03,BR88BM3A,1.0,1.0,0.88,0.88,6,2,375261.24
2023-01-03,BR89BA3,2.96,2.96,2.96,2.96,2,1,126508.52
2023-01-03,BR89BA3A,0.7,0.7,0.7,0.7,1,1,63254.26
2023-01-03,BR89BM3,4.46,4.46,4.46,4.46,15,1,948813.9
2023-01-03,BR89BN3,4.5,4.5,4.5,4.5,1,1,63254.26
2023-01-03,BR90BA3,2.5,2.79,2.2,2.58,16,11,1023439.68
2023-01-03,BR90BA3A,1.0,1.0,0.42,0.42,2,2,127929.96
2023-01-03,BR90BM3,4.41,4.41,4.41,4.41,2,2,127929.96
2023-01-03,BR91BA3,2.7,2.81,2.7,2.81,3,3,194027.1
2023-01-03,BR91BA3A,0.22,0.22,0.22,0.22,1,1,64675.7
2023-01-03,BR91BB3,4.5,4.5,4.5,4.5,1,1,64675.7
2023-01-03,BR91BM3,5.0,5.0,5.0,5.0,1,1,64675.7
2023-01-03,BR92BA3A,0.25,0.25,0.25,0.25,3,1,196159.26
2023-01-03,BR92BB3,4.2,4.2,4.2,4.2,1,1,65386.42
2023-01-03,BR92BM3,5.65,5.65,5.65,5.65,2,1,130772.84
2023-01-03,BR92BM3A,3.3,3.3,3.3,3.3,1,1,65386.42
2023-01-03,BR93BA3A,0.3,0.3,0.15,0.3,26,4,1718525.9
2023-01-03,BR95BA3A,0.1,0.1,0.1,0.1,1,1,67518.59
2023-01-03,BR95BB3,3.2,3.4,3.2,3.4,2,2,135037.18
2023-01-03,CH900CA3A,21.69,21.69,21.69,21.69,1,1,900.0
2023-01-03,CH910CA3A,13.08,13.08,13.08,13.08,3,1,2730.0
2023-01-03,CH910CM3,59.83,61.04,59.83,60.99,438,10,398580.0
2023-01-03,CR10.25BA3A,0.06,0.06,0.06,0.06,60,1,615000.0
2023-01-03,CR10.25BC3,0.64,0.64,0.64,0.64,2,1,20500.0
2023-01-03,CR10BA3A,0.251,0.251,0.19,0.19,2,2,20000.0
2023-01-03,CR10BM3A,0.035,0.035,0.02,0.02,3,2,30000.0
2023-01-03,CR10BM3B,0.1,0.1,0.1,0.1,1,1,10000.0
2023-01-03,CR10BN3,0.4,0.4,0.4,0.4,5,1,50000.0
2023-01-03,CR10BO3,0.4,0.4,0.4,0.4,602,10,6020000.0
2023-01-03,CR8.75BO3,0.04,0.04,0.04,0.04,1,1,8750.0
2023-01-03,CR8BA3,2.222,2.222,2.222,2.222,1,1,8000.0
2023-01-03,CR8BM3,0.001,0.001,0.001,0.001,6,1,48000.0
2023-01-03,CR9.5BA3A,0.501,0.75,0.027,0.75,4,3,38000.0
2023-01-03,CR9BA3A,1.144,1.144,1.144,1.144,2,1,18000.0
2023-01-03,ED1.02BO3,0.013,0.014,0.013,0.014,16,7,1159898.24
2023-01-03,ED1.03BO3,0.0195,0.0195,0.017,0.0175,35,9,2562152.95
2023-01-03,Eu58000BO3,31.0,31.0,31.0,31.0,20,1,1160000.0
2023-01-03,Eu60000BO3,47.0,47.0,47.0,47.0,10,1,600000.0
2023-01-03,Eu62000BO3,100.0,100.0,100.0,100.0,30,1,1860000.0
2023-01-03,Eu64000BO3,182.0,182.0,160.0,160.0,54,3,3456000.0
2023-01-03,Eu65000BO3,233.0,233.0,233.0,233.0,1,1,65000.0
2023-01-03,Eu66000BO3,500.0,500.0,310.0,310.0,78,6,5148000.0
2023-01-03,Eu68000BC3,6500.0,6500.0,6500.0,6500.0,2,1,136000.0
2023-01-03,Eu69000BO3,800.0,800.0,750.0,750.0,68,6,4692000.0
2023-01-03,Eu70000BO3,1005.0,1005.0,1005.0,1005.0,1,1,70000.0
2023-01-03,Eu71000BO3,1370.0,1370.0,1260.0,1299.0,451,15,32021000.0
2023-01-03,Eu72000BO3,1684.0,1684.0,1684.0,1684.0,10,1,720000.0
2023-01-03,Eu78000BC3,980.0,1220.0,980.0,1159.0,65,6,5070000.0
2023-01-03,Eu79500BC3,900.0,900.0,900.0,900.0,10,1,795000.0
2023-01-03,Eu80000BC3,570.0,800.0,470.0,790.0,2450,58,196000000.0
2023-01-03,Eu83000BC3,290.0,400.0,270.0,400.0,51,14,4233000.0
2023-01-03,FV1500CA3A,27.46,27.46,27.46,27.46,9,1,13500.0
2023-01-03,FV1525CA3A,36.66,36.66,36.66,36.66,27,1,41175.0
2023-01-03,FV1525CM3A,40.35,40.35,40.35,40.35,1,1,1525.0
